arquivo,linhas
frontend/src/pages/consultorio/Consultorio.jsx,3495
frontend/src/pages/servicos/ServicosRapidos.jsx,1632
frontend/src/pages/dashboard/DashboardEpidemiologico.jsx,1225
frontend/src/pages/agenda/AgendaIntegrada.jsx,835
frontend/src/pages/documentos/ProcessosDocumentais.jsx,756
frontend/src/pages/fila/FilaClinica.jsx,616
frontend/src/pages/pacientes/Pacientes.jsx,595
frontend/src/pages/documentos/DocumentosPaciente.jsx,568
frontend/src/pages/documentos/OCRDocumental.jsx,451
frontend/src/pages/consultorio/Consultorio.bak.jsx,447
frontend/src/pages/agenda/AgendaCatalogo.jsx,446
frontend/src/pages/notificacoes/NotificacoesWhatsapp.jsx,367
frontend/src/pages/dashboard/Dashboard.jsx,350
frontend/src/pages/cientifico/IndicadoresCientificos.jsx,287
frontend/src/pages/analytics/IntegracaoIntervencoes.jsx,278
frontend/src/pages/documentos/DocumentosWorkspace.jsx,255
frontend/src/pages/agenda/CentralNotificacoes.jsx,223
frontend/src/pages/operacional/PainelOperacional.jsx,219
frontend/src/pages/agenda/AgendaAlertas.jsx,212
frontend/src/pages/analytics/PrmIndicadores.jsx,212
frontend/src/pages/consultorio/CuidadoFarmaceutico.jsx,182
frontend/src/pages/relatorios_gerenciais/RelatoriosGerenciais.jsx,173
frontend/src/pages/analytics/IntervencoesPadronizadasIndicadores.jsx,163
frontend/src/pages/agenda/CentralOperacional.jsx,125
frontend/src/pages/agenda/AgendaWorkspace.jsx,122
frontend/src/pages/perfil/PerfilProfissional.jsx,117
frontend/src/pages/analytics/AnalyticsWorkspace.jsx,103
frontend/src/pages/login.jsx,102
frontend/src/pages/relatorios/Relatorios.jsx,8
