metodo,rota,ocorrencias
GET,/consultorio/alertas-clinicos-consolidados,2
GET,/consultorio/alertas-clinicos/resolucoes,3
POST,/consultorio/alertas-clinicos/resolver,2
GET,/consultorio/alertas-pendentes,2
GET,/consultorio/bioimpedancia/{bioimpedancia_id}/laudo-pdf,2
POST,/consultorio/converter-para-clinico/{paciente_simplificado_id},2
GET,/consultorio/dashboard-antropometrico,2
GET,/consultorio/dashboard-cardiovascular,2
GET,/consultorio/dashboard-efetividade-cuidado,2
GET,/consultorio/dashboard-epidemiologico,2
GET,/consultorio/dashboard-glicemico,2
GET,/consultorio/dashboard-resolucao-alertas,2
POST,/consultorio/evolucao/{evolucao_id}/desfecho,2
GET,/consultorio/evolucao/{evolucao_id}/desfechos,2
GET,/consultorio/exportacao-cientifica-excel,3
GET,/consultorio/exportacao-pesquisa-anonimizada,3
GET,/consultorio/indicadores-cientificos,3
PUT,/consultorio/paciente-clinico/{paciente_id}/dados-clinicos,2
PUT,/consultorio/paciente-clinico/{paciente_id}/identificacao,2
GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-comparativo,2
GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-historico,2
POST,/consultorio/prontuario/{prontuario_id}/evolucao,2
GET,/consultorio/prontuario/{prontuario_id}/evolucoes,2
GET,/consultorio/relatorio-cientifico-pdf,3
GET,/consultorio/relatorio-resolucao-alertas-pdf,2
GET,/consultorio/serie-temporal-cientifica,3
