tipo,metodo,rota,arquivos
estatica,GET,/consultorio/alertas-clinicos-consolidados,routers/alertas_clinicos.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/alertas-clinicos/resolucoes,routers/alertas_clinicos.py [nao-incluido]; routers/consultorio.py [incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/alertas-pendentes,routers/alertas_clinicos.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/bioimpedancia/{bioimpedancia_id}/laudo-pdf,routers/bioimpedancia.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/dashboard-resolucao-alertas,routers/alertas_clinicos.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/evolucao/{evolucao_id}/desfechos,routers/consultorio.py [incluido]; routers/consultorio_clinico.py [nao-incluido]
estatica,GET,/consultorio/exportacao-cientifica-excel,routers/relatorios_cientificos.py [nao-incluido]; routers/indicadores_cientificos.py [incluido]
estatica,GET,/consultorio/exportacao-pesquisa-anonimizada,routers/relatorios_cientificos.py [nao-incluido]; routers/indicadores_cientificos.py [incluido]
estatica,GET,/consultorio/indicadores-cientificos,routers/relatorios_cientificos.py [nao-incluido]; routers/indicadores_cientificos.py [incluido]
estatica,GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-comparativo,routers/bioimpedancia.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/paciente-simplificado/{paciente_id}/bioimpedancia-historico,routers/bioimpedancia.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/prontuario/{prontuario_id}/evolucoes,routers/consultorio_clinico.py [nao-incluido]; routers/evolucoes_desfechos.py [incluido]
estatica,GET,/consultorio/relatorio-cientifico-pdf,routers/relatorios_cientificos.py [nao-incluido]; routers/indicadores_cientificos.py [incluido]
estatica,GET,/consultorio/relatorio-resolucao-alertas-pdf,routers/alertas_clinicos.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,GET,/consultorio/serie-temporal-cientifica,routers/relatorios_cientificos.py [nao-incluido]; routers/indicadores_cientificos.py [incluido]
estatica,POST,/consultorio/alertas-clinicos/resolver,routers/alertas_clinicos.py [nao-incluido]; routers/consultorio.py [incluido]
estatica,POST,/consultorio/converter-para-clinico/{paciente_simplificado_id},routers/consultorio_clinico.py [nao-incluido]; routers/conversao_clinica.py [incluido]
estatica,POST,/consultorio/evolucao/{evolucao_id}/desfecho,routers/consultorio_clinico.py [nao-incluido]; routers/evolucoes_desfechos.py [incluido]
estatica,POST,/consultorio/prontuario/{prontuario_id}/evolucao,routers/consultorio_clinico.py [nao-incluido]; routers/evolucoes_desfechos.py [incluido]
estatica,PUT,/consultorio/paciente-clinico/{paciente_id}/dados-clinicos,routers/consultorio_clinico.py [nao-incluido]; routers/conversao_clinica.py [incluido]
estatica,PUT,/consultorio/paciente-clinico/{paciente_id}/identificacao,routers/consultorio_clinico.py [nao-incluido]; routers/conversao_clinica.py [incluido]
